detector,precision,recall,f1,avg_fps,tp,fp,fn
HSV Baseline,0.6739,0.4663,0.5512,841.07,1730,837,1980
Hybrid (HSV + MobileNetV2),0.5761,0.6143,0.5946,57.2,2279,1677,1431
